_id,user,content,creationTime,referenceName,tag
"ObjectId(""5e64a9f3b3c41f266175fe96"")",一梁一芦,挺好的，就是我买错尺码了,2020/1/14 04:19,耐克 NIKE BLAZER LOW LX 女子运动鞋 AV9371 AV9371-100 36.5,3
"ObjectId(""5e64a9f3b3c41f266175fe97"")",云南闻道,其他特色：鞋子还可以，挺漂亮的。。,2020/1/8 19:14,耐克 NIKE BLAZER LOW LX 女子运动鞋 AV9371 AV9371-100 36.5,3
"ObjectId(""5e64a9f3b3c41f266175fe98"")",j***m,退货非常差，互相推诿，客服只会自动回复，这种店大家自己看着办。,2020/3/1 09:29,耐克 NIKE COURT VISION LO 男子运动鞋 CD5463 CD5463-100 42,1
"ObjectId(""5e64a9f3b3c41f266175fe99"")",天***歌,穿过一段时间才来评价的，说实话，鞋子真心不错，穿着走路???不累脚，很舒适，客服快递等方面也都很及时，大大的好评！??建议有意选购的小伙伴们抓紧入手吧，好的东西值得拥有！??,2018/9/6 11:25,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fe9a"")",双叶电机,质量非常好，穿着舒适，尺码刚好。,2019/11/22 10:40,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fe9b"")",Bubble火花,鞋子好看，比较有特点,2020/3/2 11:36,耐克 NIKE BLAZER LOW LX 女子运动鞋 AV9371 AV9371-100 36.5,3
"ObjectId(""5e64a9f3b3c41f266175fe9c"")",乖萌胖次,颜值担当，仙女必备?,2019/3/2 16:09,耐克 NIKE BLAZER LOW LX 女子运动鞋 AV9371 AV9371-100 36.5,3
"ObjectId(""5e64a9f3b3c41f266175fe9d"")",jd_储晨697,物流快&hellip;&hellip;喜欢,2019/4/12 13:06,耐克 NIKE BLAZER LOW LX 女子运动鞋 AV9371 AV9371-100 36.5,3
"ObjectId(""5e64a9f3b3c41f266175fe9e"")",比风还酷,拿到包裹了  包装已经烂到不能再烂了   鞋应该是正品的,2020/3/6 18:36,耐克 NIKE COURT VISION LO 男子运动鞋 CD5463 CD5463-100 42,2
"ObjectId(""5e64a9f3b3c41f266175fe9f"")",老虎猫儿,好看。  比空军一号便宜。  感觉没差多少,2020/3/6 19:38,耐克 NIKE COURT VISION LO 男子运动鞋 CD5463 CD5463-100 42,3
"ObjectId(""5e64a9f3b3c41f266175fea0"")",ViVoX5450703,耐克质量，很好没有问题。穿着舒服。很满意。,2019/9/15 19:23,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fea1"")",超人春哥,试穿了一个，感觉很舒服，质量很好！,2019/4/5 05:24,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fea2"")",无***8,鞋子不错，夏天穿略热，鞋底还是比较软的，很舒服。,2018/7/20 21:33,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fea3"")",一***2,京东闪购搞活动时买的，特意穿了一段时间才来评价，是正品，穿着很舒服价格也很合适，继续支持京东。,2019/5/8 08:54,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64a9f3b3c41f266175fea4"")",XiamenChris,一般 有点硬感觉,2020/2/23 19:22,耐克 NIKE COURT VISION LO 男子运动鞋 CD5463 CD5463-100 42,2
"ObjectId(""5e64a9f3b3c41f266175fea5"")",蹲儿duner,客服售后棒棒哒！胜道压根不给退差价,2020/2/17 19:55,耐克 NIKE COURT VISION LO 男子运动鞋 CD5463 CD5463-100 42,3
