_id,user,content,creationTime,referenceName,tag
"ObjectId(""5e64a9e7b3c41f266175fa22"")",ljwzyyopj,给快递小哥点赞，速度超快。,2019/6/6 19:39,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,0
"ObjectId(""5e64a9e7b3c41f266175fa23"")",高***姐,鞋子很舒服！不知是不是正品。穿着舒服,2018/8/14 22:02,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64a9e7b3c41f266175fa24"")",小***屋,此用户未填写评价内容,2020/2/14 21:18,耐克 NIKE AIR MAX 270 REACT 女子运动鞋 CI3899 CI3899-500 37.5,0
"ObjectId(""5e64a9e7b3c41f266175fa25"")",崇***心,物超所值，客服一流，赞赞,2017/11/14 13:24,NIKE耐克男鞋 2020春季新品REVOLUTION 4网面透气休闲鞋减震慢跑低帮健身运动鞋跑步鞋 908988-001/革命4/主推款 42,3
"ObjectId(""5e64a9e7b3c41f266175fa26"")",1***w,一双很好的鞋子，下次再光顾。,2019/3/31 15:45,NIKE耐克男鞋 2020春季新品REVOLUTION 4网面透气休闲鞋减震慢跑低帮健身运动鞋跑步鞋 908988-001/革命4/主推款 42,3
"ObjectId(""5e64a9e7b3c41f266175fa27"")",j***a,给老公买的！昨天下单今天上午收了.老公穿着说不错&hellip;&hellip;很舒服。,2016/8/5 16:43,NIKE耐克男鞋 2020春季新品REVOLUTION 4网面透气休闲鞋减震慢跑低帮健身运动鞋跑步鞋 908988-001/革命4/主推款 42,3
"ObjectId(""5e64a9e7b3c41f266175fa28"")",聂***春,穿了几天了，外形脚感很不错！,2019/3/17 12:42,NIKE耐克男鞋 2020春季新品REVOLUTION 4网面透气休闲鞋减震慢跑低帮健身运动鞋跑步鞋 908988-001/革命4/主推款 42,3
"ObjectId(""5e64a9e7b3c41f266175fa29"")",鲍***银,很好哟，还不错，可以的，超值。,2019/7/27 15:11,耐克(NIKE) 运动包 腰包 HERITAGE HIP PACK 运动休闲包 胸包 斜挎包 BA5750-010 黑,3
"ObjectId(""5e64a9e7b3c41f266175fa2a"")",H***9,收到东西啦！很好！京东物流就是快！,2019/11/30 19:11,耐克(NIKE) 运动包 腰包 HERITAGE HIP PACK 运动休闲包 胸包 斜挎包 BA5750-010 黑,3
"ObjectId(""5e64a9e7b3c41f266175fa2b"")",jd_150828bty,一般，就是个品牌,2019/7/28 11:39,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,2
