_id,user,content,creationTime,referenceName,tag
"ObjectId(""5e64aafeb3c41f2661763f07"")",思***y,实在是太优秀了。是正品。很喜欢啊。怎么这么好。,2018/10/19 19:22,耐克 NIKE COURT ROYALE AC 女子运动鞋AO2810 AO2810-102白/白/白 37.5,3
"ObjectId(""5e64aafeb3c41f2661763f08"")",邓***5,颜色很好看 很喜欢 双十一买的划算 是正品,2018/11/26 09:04,耐克 NIKE COURT ROYALE AC 女子运动鞋AO2810 AO2810-102白/白/白 37.5,3
"ObjectId(""5e64aafeb3c41f2661763f09"")",阿琳琳,鞋子很软，很轻，很舒适，一值相信京东，值得购买,2019/8/2 08:06,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0a"")",j***8,鞋子非常好看 送朋友的 她很喜欢 是正品 穿上很舒服,2019/7/7 07:34,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0b"")",俪***橙,粉色的买大了，又拍了双小的，妈妈很喜欢，穿着舒服不累脚,2019/1/20 20:46,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0c"")",j***l,棒棒棒棒棒棒棒棒棒，穿着也很舒服，鞋码合适，值得入手,2019/6/3 15:25,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0d"")",赵***瘦,宝贝很好老婆很喜欢，很轻,2019/7/27 11:43,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0e"")",插***儿,一直在京东买东西，穿着舒服，很不错的。,2018/8/14 12:03,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f0f"")",g***妍,比专柜便宜了60果断入了！穿着很舒服，脚感很好！是正品，一直很相信京东自营！也经常在京东买东西！而且我在的地区没有货了，年费从别的地区调的货，也很快，第二天就到了！很满意！,2018/6/14 10:41,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
"ObjectId(""5e64aaffb3c41f2661763f10"")",o***o,物美价廉的鞋子，老婆说非常舒服，推荐大家购买,2018/11/15 22:33,耐克NIKE 女子 两道杠 拖鞋 BENASSI DUO ULTRA SLIDE 沙滩鞋 休闲鞋 819717-010黑色35.5码,3
