_id,user,content,creationTime,referenceName,tag
"ObjectId(""5e64aab1b3c41f26617630cc"")",骑着乌_去冲浪,轻便舒适，耐克还是很好的，这个正好夏天穿，不热,2019/6/19 15:24,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630cd"")",s***2,宝贝很赞?儿子很喜欢?价格实惠质量不错是正品,2019/1/15 21:39,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630ce"")",昵称被抢完了,鞋子很好穿着不错，样式也好满意,2019/5/23 08:26,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630cf"")",1***0,鞋子收到了，还不错，应该是正品，就是鞋码偏小！感觉还值得信赖！！,2018/11/30 02:05,耐克 NIKE AIR ZOOM STRUCTURE 22 男子跑步鞋 AA1636 AA1636-002 41,3
"ObjectId(""5e64aab1b3c41f26617630d0"")",p***g,自从有了京东商城，生活便捷多了！品质保证，物流给力！,2019/5/2 10:59,耐克 NIKE AIR ZOOM STRUCTURE 22 男子跑步鞋 AA1636 AA1636-002 41,3
"ObjectId(""5e64aab1b3c41f26617630d1"")",jd_159922hvvi,做活动319买的 太划算了 鞋子很好 透气 舒适 物流特别快,2019/7/30 16:35,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630d2"")",simbafox,鞋子穿起来非常舒适，很轻，款式很漂亮，质量很好,2019/6/17 16:16,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630d4"")",哥***7,物流速度很快，鞋穿着非常舒服！,2019/2/1 22:11,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630d5"")",t***o,物流很快  鞋子是正品  不错,2019/7/27 19:54,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630d6"")",jd_136180peb,透气性能：很好跟我在实体店里的耐克不太一样,2020/2/27 11:04,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630d8"")",j***a,款式不错，穿着舒服，挺好的。,2019/11/17 10:58,耐克 NIKE AIR ZOOM STRUCTURE 22 男子跑步鞋 AA1636 AA1636-002 41,3
"ObjectId(""5e64aab1b3c41f26617630da"")",Y***1,挺好的呀   挺好的   挺好看的,2019/2/1 07:57,耐克 NIKE AIR ZOOM STRUCTURE 22 男子跑步鞋 AA1636 AA1636-002 41,3
"ObjectId(""5e64aab1b3c41f26617630db"")",hmjxh25,感觉穿起来很舒服，走路脚里有风的感觉，之前在网上没买过鞋，这次买了很不错，京东自营就是好，以后还会在京东自营上买东西。,2019/7/30 14:51,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630dc"")",k***6,京东自营信的过！自己外行看了一下，鞋子是正品，上脚很舒服，轻盈。鞋面透气很好。要说非得挑个小毛病，那就是鞋底真的很高，增高三厘米至少，不错不错,2018/9/4 15:56,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630dd"")",j***1,宝贝很不错，大小正合适，穿起来很舒服，颜色我也很喜欢，这鞋脚瘦的人穿好看，脚胖的人穿就不怎么友好了，我的脚算是偏瘦型的，特意卖大了半码还是有点挤脚，脚没有顶到鞋尖，还有富裕，传统的配色，简简单单的，穿起来很大方，下次还会来光顾的！,2019/8/14 17:09,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630de"")",翠竹悠悠,穿的很舒服，很奈斯！！,2019/3/14 07:32,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630df"")",jd_9787571,不错哦，很好，店家发货很快，产品包装质量好，产品穿着起来非常舒服轻便透气。值得拥有。,2019/8/5 15:57,耐克NIKE 男子 休闲鞋 TANJUN 天君 运动鞋 812654-011 奥利奥 黑色41码,3
"ObjectId(""5e64aab1b3c41f26617630e0"")",s***8,是正品，很喜欢，质量也很好。,2019/2/14 09:20,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630e1"")",何以渡清欢-,穿着很舒服 不软不硬,2019/6/5 12:26,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630e2"")",jd_9113882,不错的产品，小孩很喜欢！！！！！！！！,2020/2/12 20:55,耐克NIKE 男子 板鞋/复刻鞋 NIKE COURT ROYALE AC 运动鞋 BQ4222-004 黑色 42码,3
"ObjectId(""5e64aab1b3c41f26617630e3"")",哼哼岑岑,鞋子穿着很舒服，一直都在京东自营店买，价格比实体店便宜，多次购买,2019/5/24 12:12,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab1b3c41f26617630e5"")",七***爹,穿着很舒服，透气性好，穿着得劲，好评,2020/1/15 18:48,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630e6"")",清***福,准时收到鞋子，平时41的运动鞋，穿鞋真好，质量没得说，很喜欢，凉快。黑色百搭。,2018/6/11 14:23,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630e7"")",j***7,挺不错的，大小合适，穿着舒服，样子也不错，买来就一直穿着，很喜欢，推荐购买,2018/7/5 12:40,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630e8"")",小***趣,一分钱一分货&hellip;鞋子贴脚透气，最主要的是轻便&hellip;走起路来很舒服！,2018/10/5 15:05,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64aab2b3c41f26617630ea"")",jd_159507wjp,鞋子很好看，穿着也很舒服，快递也快，当天就到了,2019/8/20 17:27,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630eb"")",jd_176144ovj,没问题吧，不解释，?，日常很舒服，不适合剧烈运动,2019/8/23 15:09,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630ec"")",132*****301_p,家里用品都是在京东买的，方便又快捷，快递员服务态度特别好，双11活动太给力了。,2019/11/15 17:33,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,3
"ObjectId(""5e64aab2b3c41f26617630ed"")",老好姑凉,质量很好，买大牌就是不用担心质量，价格也不贵。挺好！,2019/9/30 19:06,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,3
"ObjectId(""5e64aab2b3c41f26617630ee"")",还***阿,618买个女朋友的，她很喜欢，价格也不贵,2019/8/7 09:40,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
"ObjectId(""5e64aab2b3c41f26617630ef"")",l***6,鞋子很好，很喜欢，一直信赖京东。,2019/4/5 10:41,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
"ObjectId(""5e64aab2b3c41f26617630f0"")",mtJmXWNWIBTG,鞋子很好，是正品。建议购买,2020/3/6 08:46,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
"ObjectId(""5e64aab2b3c41f26617630f1"")",市脑残调查科副科长,轻盈，透气，物美，价廉，大方，可观。,2019/5/2 18:24,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64aab2b3c41f26617630f2"")",另***a,在京东上买非常实惠，可以送货上门，而且送货很快，非常满意。遇上活动优惠力度大，很不错。,2019/6/17 20:09,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64aab2b3c41f26617630f3"")",ZJ518405,这款是第三双了，百搭，穿着也舒服，618买的，很划算,2019/7/4 08:57,耐克 NIKE TANJUN 男子运动鞋 812654 812654-011黑/白 41,3
"ObjectId(""5e64aab2b3c41f26617630f5"")",影***1,非常好！京东自营靠谱，京东自营店值得信赖，京东物流速度好快，服务也很好。宝贝质量不错，和描述一样。东西都很不错，是自己喜欢的！非常超值！家里缺什么基本都在京东自营店下单，以后有需要还会来的！非常满意！非常满意！非常满意！非常满意！非常满意！非常满意！非常满意！非常满意！,2019/9/24 22:24,耐克NIKE 男子 缓震 透气 REVOLUTION 5 跑步鞋 BQ3204-002黑色42码,3
"ObjectId(""5e64aab2b3c41f26617630f6"")",肖战粉丝岩岩,很不错，能装很多东西，折叠伞也能放进去！,2019/8/25 01:38,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,3
"ObjectId(""5e64aab2b3c41f26617630f7"")",谨***晨,京东物流很快 这个斜挎包大小刚好 相比匡威的斜挎包差不多大 适合男生背,2019/10/3 20:59,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,3
"ObjectId(""5e64aab2b3c41f26617630f8"")",J***K,给老爸买的，他很喜欢，平时带点东西用，质量不错。,2020/2/8 00:06,耐克(NIKE)包 运动包 单肩包 HERITAGE SMIT 斜跨包  小肩袋 休闲包 BA5898-010 黑,3
"ObjectId(""5e64aab2b3c41f26617630f9"")",b***m,帮朋友买的，大小合适，做工精美，相当的不错,2018/7/13 13:04,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
"ObjectId(""5e64aab2b3c41f26617630fa"")",梧***爱,东西非常好使，价格也比超市便宜好多，京东物流一流的好,2018/12/29 14:18,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
"ObjectId(""5e64aab2b3c41f26617630fb"")",大***物,质量不错，穿起来很舒适，没想象中的那么硬,2018/1/4 07:47,耐克NIKE 女子 阿甘 休闲鞋 CORTEZ LEATHER 运动鞋 807471-103白色36码,3
